Unnamed: 0,neighbourhood_group_cleansed,property_type,room_type,bedrooms,price,minimum_nights_avg_ntm,instant_bookable,property_type_group,review_score,review_score_porcent,occupancy_rate,bedroom_occupancy_percent,min_nights_percent_year
1818,ChamberÃ­,Entire rental unit,Entire home/apt,4.0,215.0,1.0,False,House,4,0.67,0.34,0.36,0.0
1819,ChamartÃ­n,Entire rental unit,Entire home/apt,2.0,145.0,2.3,False,House,4,0.67,0.4,0.84,0.01
1820,Fuencarral - El Pardo,Private room in condo,Private room,2.0,54.0,4.1,False,Room,5,0.88,0.73,0.85,0.01
1821,ChamberÃ­,Entire rental unit,Entire home/apt,3.0,179.0,3.8,True,House,4,0.66,0.37,0.9,0.01
1822,Arganzuela,Private room in rental unit,Private room,1.0,27.0,3.0,False,Room,3,0.46,0.58,0.95,0.01
1823,Centro,Entire rental unit,Entire home/apt,1.0,75.0,27.2,False,Floor,5,0.92,0.38,0.88,0.07
1824,Carabanchel,Entire rental unit,Entire home/apt,2.0,97.0,2.0,False,House,5,0.91,0.32,0.89,0.01
1825,Salamanca,Entire rental unit,Entire home/apt,3.0,113.0,180.0,False,Floor,2,0.39,0.41,0.77,0.49
1826,Centro,Private room in rental unit,Private room,1.0,58.0,2.0,True,Room,3,0.41,0.78,0.92,0.01
1827,Centro,Entire rental unit,Entire home/apt,2.0,239.0,4.0,False,House,4,0.66,0.92,0.96,0.01
1828,Centro,Entire rental unit,Entire home/apt,0.0,70.0,2.0,False,House,5,0.86,0.41,0.42,0.01
1829,Centro,Entire rental unit,Entire home/apt,4.0,369.0,2.0,True,House,4,0.74,0.34,0.57,0.01
1830,Centro,Entire rental unit,Entire home/apt,1.0,86.0,4.6,True,Floor,4,0.71,0.32,0.85,0.01
1831,Centro,Entire rental unit,Entire home/apt,0.0,123.0,4.4,True,House,5,0.97,0.58,0.6,0.01
1832,Centro,Private room in rental unit,Private room,1.0,95.0,2.0,False,Room,3,0.49,0.73,0.48,0.01
1833,Centro,Entire rental unit,Entire home/apt,3.0,129.0,7.0,False,Floor,3,0.54,0.76,0.99,0.02
1834,Centro,Entire loft,Entire home/apt,1.0,86.0,1.0,False,Floor,4,0.74,0.64,0.5,0.0
1835,Centro,Private room in home,Private room,1.0,51.0,2.0,False,Room,1,0.2,0.94,0.97,0.01
1836,Centro,Private room in rental unit,Private room,1.0,27.0,2.0,False,Room,1,0.03,0.31,0.84,0.01
1837,Centro,Entire rental unit,Entire home/apt,4.0,555.0,2.0,False,House,4,0.75,0.76,0.92,0.01
1838,Centro,Entire rental unit,Entire home/apt,1.0,95.0,4.1,True,House,5,0.82,0.61,0.83,0.01
1839,Retiro,Entire rental unit,Entire home/apt,2.0,138.0,4.6,True,Floor,5,0.93,0.93,0.85,0.01
1840,ChamberÃ­,Private room in rental unit,Private room,1.0,31.0,2.0,False,Room,1,0.03,0.39,0.94,0.01
1841,Centro,Entire rental unit,Entire home/apt,4.0,200.0,2.4,True,House,4,0.62,0.65,0.92,0.01
1842,Arganzuela,Private room in rental unit,Private room,1.0,40.0,21.0,False,Room,2,0.33,0.63,0.82,0.06
1843,Centro,Entire rental unit,Entire home/apt,2.0,78.0,6.0,False,Floor,5,0.97,0.45,0.81,0.02
1844,Centro,Entire rental unit,Entire home/apt,1.0,79.0,2.0,True,Floor,3,0.44,0.53,0.51,0.01
1845,Carabanchel,Entire rental unit,Entire home/apt,3.0,234.0,4.0,False,House,4,0.75,0.48,0.37,0.01
1846,Centro,Private room in rental unit,Private room,1.0,94.0,2.0,False,Room,3,0.47,0.39,0.36,0.01
1847,Centro,Entire rental unit,Entire home/apt,3.0,206.0,6.0,False,House,4,0.64,0.58,0.74,0.02
1848,Centro,Entire rental unit,Entire home/apt,1.0,161.0,30.6,True,Floor,4,0.78,0.39,0.78,0.08
